service_no,service,required_documents,fee,processing_time,responsible_person,start_page,end_page
४१,"ब्यवसायसञ्चालन नभएको
सिफारिस","१. ब्यहोरा खुलेको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. चालु आ.व. सम्मकोव्यवसाय
नवीकरण गरेका प्रमाणपत्रको सक्घल
४. घरबहाल सम्झौता पत्रको
प्रतिलिपि
५ चालु at ्थिक वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",रु१०००,"सोहि दिन »/
सर्जमिन वा
स्थलगत
अध्ययनको
हकमा
बढीमा ५
दिन","वडा समिति
वा वडा
सचिव",45,45
४२,उद्योगठाउँसारी सिफारिस,"१. ब्यहोरा खुलेको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. चालु आ.व. सम्मकोव्यवसाय
दर्ता । नवीकरण गरेको प्रमाणपत्रको
सक्कल
४, घरबहाल सम्झौता पत्रको
प्रतिलिपि
५. चालु at ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण","५ �कलोवाट
सम्म
रु
२०००
५ �कलोवाट
भन्दा मा�थ
रु५०००","सोहि दिन /
सर्जमेन वा
स्थलगत
अध्ययनको
हकमा
बढीमा ५
दिन",वडा सचिव,45,46
४३,"विद्यालय ठाउँसारी
सिफारिस
।।","१. ब्यहोरा खुलेको निवेदन
२. महानगर पालिकामा दर्ता भएको
सक्घल प्रमाणपत्र
३. ठाउँ सारी जाने प्रमाण खुलेको
कागजात
४. चालु at ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण","आधारभूत
२०००० र
माध्य�मक
३००००","सोहि दिन /
सर्जमिन
स्थलगत
अध्ययनको
हकमा
बढीमा ३
दिन","बडा अध्यक्ष
नी",46,47
४४,"विद्यालय सञ्चालन स्वीकृत
/कक्षा बुद्धि सिफारिस","१. ब्यहोरा खुलेको निवेदन
२. नियामक निकायमा गरिएको
विद्यालय दर्ता प्रमाण पत्रको प्रतिलिपि
३. व्यवसाय दर्ता प्रमाणपत्रको
प्रतिलिपि
४. चालु at ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",रु१५००,"सोहि दिन »/
सर्जमिन वा
स्थलगत
अध्ययनको
हकमा
बढीमा ५
दिन",बडा अध्यक्ष,47,47
४५,"ब्यक्तिगत विवरण
सिफारिस
।","१. ब्यहोरा खुलेको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. विषयसँग सम्बन्धित अन्य प्रमाण
कागजातहरु
४. चालु at ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",,"उही दिन /
सर्जमिन
स्थलगत
अध्ययनको
हकमा
बढीमा३
दिन",बडा अध्यक्ष,47,48
४६,"संरक्षक सिफारिस
(ब्यक्तिगत)
री","१. ब्यहोरा खुलेको निवेदन
२. संरक्षक दिने र लिने व्यक्तिको
नागरिकता प्रमाणपत्रको प्रतिलिपिवा
नाबालक भए जन्मदर्ता प्रमाणपत्रको
प्रतिलिपि
३. कानुन अनुसार संरक्षकत्व
लिएको प्रमाणको प्रतिलिपि
४. चालु at ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",रु१००,"सोहि दिन »/
सर्जमिन वा
स्थलगत
अध्ययनको
हकमा
बढीमा ५
दिन","बडा अध्यक्ष
।",48,49
४७,"संरक्षक सिफारिस
(संस्थागत)","१. ब्यहोरा खुलेको निवेदन
२. संस्था दर्ता प्रमाणपत्रको प्रतिलिपि
३. संस्थाको विधानकोप्रतिलिपि
४. चालु at ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",रु२००,"सोहि दिन »/
सर्जमिन वा
स्थलगत
अध्ययनको
हकमा
बढीमा ५
दिन",बडा अध्यक्ष,49,49
४८,"आर्थिक अवस्था बलियो
वा सम्पन्नता प्रमाणित
।","१. ब्यहोरा खुलेको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. जग्गाधनी प्रमाण पुर्जाको
प्रतिलिपि
४, आयश्रोत खुल्ने कागजात
५. चालु आ ea वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",,"सोहि दिन /
सर्जमेन वा
स्थलगत
अध्ययनको
हकमा
बढीमा ५
दिन",बडा अध्यक्ष,49,50
४९,"आर्थिक अवस्था कमजोर
वा विपन्नता प्रमाणित","१. ब्यहोरा खुलेको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. आर्थिक अवस्था कमजोर भएको
पुष्टि हुने प्रमाण",Ǔनꓽशुल्,"एक घण्टा
/ सर्जमिन
स्थलगत
अध्ययनको
हकमा २
दिन",बडा अध्यक्ष,50,50
५०,"मिलापत्र कागज/उजुरी
दर्ता","१. ब्यहोरा खुलेको निवेदन
2, सम्बन्धित व्यक्तिहरुको
नागरिकता प्रमाणपत्रको प्रतिलिपि
३. विषयसँग सम्बन्धित अन्य
कागजातहरु
४, मिलापत्र गर्ने दुवैपक्षको संयुक्त
निवेदन
५. बसा gag गरी आएकाको
हकमा बसाइँसराइ दर्ता प्रमाणपत्रको
प्रतिलिपि
६ चालु a a वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",रु२००,एक घण्टा,बडा अध्यक्ष,51,51
५१,कोठाखोल्ने काम,"१. मुलुकी देवानी संहितामा उल्लेख
भए बमोजिमको ब्यहोरा खु लेको
निवेदन
२. घरधनी वा निजको एकाघरको
नागरिकता प्रमाणपत्रको प्रतिलिपि
३. बहालमा भए सम्झोता
बमोजिमको बहाल कर तिरेको
रसिदको प्रतिलिपि
४ चालु at ्थिक वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण","रु५००
�Ǔत कोठा","कानुनले
तोकेको
म्याद भित्र",बडा अध्यक्ष,52,52
५२,"विज्ञापन कर्‌
।","१. ब्यहोरा खूलेको निवेदन
२. संस्थाको ब्यवसाय दर्ता
प्रमाणपत्रको प्रतिलिपि
३ विज्ञापन पाटीको प्रकृति रक्षेत्रफल
खुलेको कागजात","�वज्ञाप
कानुन
अनुसार","सोहि दिन /
स्थलगत
अध्ययनको
हकमा
बढीमा २
दिन",वडासचिव,52,53
५३,"सम्पत्ति कर (पहिलो
पटकको लागि)","१. तोकिए बमोजिमको सम्पत्ति
करको फाराम
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. जग्गा धनी प्रमाण पुर्जाको
प्रतिलिपि
४. पास नक्साको प्रतिलिपि
५, नक्सापास प्रमाणपत्रको प्रतिलिपि
६. घरजग्गा खरिद गरेकोभए
मालपोतबाट रजिष्ट्रेशन पारित
लिखतकोप्रतिलिपि
७. जग्गाको हालसालेको नापी नक्सा
वा ca को प्रतिलिपि
८. वि.सं.२०२१ अगाडि निर्माण
भएको भवनहरुको हकमा सोको
व्यहोरा खुल्ने वडा
कार्यालयकोसिफारिस
९. सम्पत्ति कर्‌ लाग्ने आर्थिक वर्ष
भन्दा अगाडि मालपोत ५भूमिकर
तिरेको रसिदको प्रतिलिपि",,"सोहि दिन »/
स्थलगत
अध्ययनको
हकमा
बढीमा २
दिन","वडा
सचिव",53,54
५४,नियमित सम्पत्ति कर,"१.सम्पत्ति कर नविकरण फाराम भर्ने
२. पछिल्लो पटक सम्पत्ति कर
तिरेको रसिदको प्रतिलिपि
३. बहाल लगाएको हकमा बहाल
सम्झौता र बहाल कर तिरेको
रसिदको प्रतिलिपि
४. आफ्नै व्यवसाय संचालन गरेको
हकमा दर्ता/नविकरण भएको
प्रतिलिपि
५, भवन निर्माण सम्पन्न भएको
हकमा एक पटकका लागि निर्माण
सम्पन्न प्रमाण पत्रको प्रतिलिपि",,"सोहि दिन »/
स्थलगत
अध्ययनको
हकमा
बढीमा २
दिन","वडा
सचिव",55,55
५५,व्यवसाय नवीकरण,"१. तोकिए बमोजिमको व्यवसाय
नविकरण फाराम
२. स्थानीय तह मा दर्ता भएको
व्यवसाय दर्ता प्रमाणपत्रकोसक्कल
३. बहाल करको हकमा बहाल
सम्झौता र
४, चालु आर्थिक वर्षको सम्पत्ति कर
तिरेको रसिदको प्रतिलिपि",,"सोहि दिन »/
स्थलगत
अध्ययनको
हकमा
बढीमा २
दिन",,56,56
५६,"चोपाया/दोपायासम्वन्धी
सिफारिस","१. ब्यहोरा खूलेको निवेदन
२. लिने दिनेदुवेको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. चौपाया /दोपाया लाने ठाउँको
स्वीकृति पत्र
४, लिने दिने दुवैले सनाखत
५. चौपाया पालन गर्नेका हकमा
स्थान र छरछिमेक तथा
वाताबरणमाप्रतिकुल प्रभाव नपर्न
व्यहोरा खु लेको पत्र
६. चालु at a वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",रु५००,"२ घण्टा
स्जीमेन
स्थलगत
अध्ययनको
हकमा २
दिन",बडा अध्यक्ष,56,57
५७,"अंग्रेजीमा सिफारिस तथा
प्रमाणित","१. ब्यहोरा खुलेको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. विषय सँग सम्बन्धित प्रमाण
कागजातको प्रतिलिपि
४. बसा sams गरी आएकाको
हकमा बसाइँसराइ दर्ता प्रमाणपत्रको
प्रतिलिपि
५. चालु आ. व. को सम्पत्ति कर
तिरेको प्रमाणपत्रको प्रतिलिपि",५००,सोहि दिन,बडा अध्यक्ष,57,58
५८,"डिपबोरिङ्ग सिफारिस
।","१. ब्यहोरा खुलेको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. लालपूर्जा प्रमाणपत्रको प्रतिलिपि
४. टोल छिमेकको सहमति सहितको
सर्जमिन मुचुल्का
५. व्यावसाय दर्ता प्रमाणपत्रको
प्रतिलिपि
६. चालु at a वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",,"सर्जमिन वा
स्थलगत
अध्ययनको
हकमा
बढीमा ५
पन",बडा अध्यक्ष,58,59
६०,घटना दर्तासंशोधन,"१. फरक पर्नाको कारण सहितको
ब्यहोरा खोलेको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. फरक परेको प्रमाणित
कागजातहरुको प्रतिलिपि",रु२००,सोहि दिन,"वडा
सचिव",59,59
६१,कित्ताकाटसिफारिस,"१. ब्यहोरा खुलेको निवेदन
२. जग्गाधनी प्रमाणपूर्जाको प्रतिलिपि
३. जग्गाको हालसालेको नापी नक्सा
वा ca को प्रतिलिपि
४, निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
५. सम्वन्धित कार्यालयको पत्र
६. चालु at a वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",र.२०००,"सोहि दिन /
सर्जमिन
स्थलगत
अध्ययनको
हकमा २
दिन",बडा अध्यक्ष,60,60
६२,"स्थानीय जनताको माग
अनुसारका अन्य
सिफारिस","१. ब्यहोरा खूलेको निवेदन
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३. विषयसँग सम्बन्धित प्रमाणित
कागजात
४. स्थायी बासिन्दाले मात्र प्राप्त गर्न
सक्ने सिफारिसको हकमा बसाइँसराईइँ
गरी आएकाको भए बसाइँसराइँ दर्ता
प्रमाणपत्रकोप्रतिलिपि
५. चालु at ae वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण",रु१०००,"सोहि दिन /
सर्जमेन वा
स्थलगत
अध्ययनको
हकमा २
दिन",बडा अध्यक्ष,60,61
६३,"चार किल्लाप्रमाणित
।","१. तोकिएको ढाँचाको निवेदनको
फाराम
२. निवेदकको नागरिकता
प्रमाणपत्रको प्रतिलिपि
३, जग्गा धानी प्रमाण पुर्जाको
प्रतिलिपी
४. जग्गाको हालसालेको नापी नक्सा
वा ca को प्रतिलिपि
५. निवेदक tat वा निजले अन्य
वक्तिलाई तोकेको हकमा निज
निवेदकले दिएकोअधिकृत
वारेसनामाको प्रमाणित प्रतिलिपी
६. चालु at a वर्ष सम्मको तिर्नु
बुझाउनु पर्ने सबै कर तिरेको प्रमाण
Oo","चार �कल्ला
�मािणत एक
आनासम्म
५००
दुइआना दुइ
पैसा सम्म
१०००
दुइआना दुइ
पैसा देिख
पाँचआना
सम्म
२०००
पाँचआना
देिख एक
रोपनी सम्म
५०००
एक रोपनी
देिख माǓथ
१००००।","सोहि दिन »/
सर्जमिन वा
स्थलगत
अध्ययनको
हकमा २
दिन",बडा अध्यक्ष,61,63
